word_segment,instances,prominence
འི་,183,3.886175408791676
ར་,136,2.888086642599278
ནས་,117,2.4846039498832027
དང་,113,2.3996602251008707
དུ་,84,1.7838182204289659
ལ་,66,1.4015714589084731
ཀྱི་,66,1.4015714589084731
ས་,60,1.2741558717349757
གྱི་,47,0.9980887661923975
རིན་པོ་ཆེ་,34,0.7220216606498195
གི་,33,0.7007857294542366
མཛད་,32,0.6795497982586537
ལ་དྭགས་,30,0.6370779358674878
བཅས་,29,0.6158420046719049
གསུམ་,29,0.6158420046719049
སྐུ་,28,0.594606073476322
༸སྐྱབས་,28,0.594606073476322
མཛད,26,0.552134211085156
རྣམས་,26,0.552134211085156
སོགས་,25,0.5308982798895732
སུ་,24,0.5096623486939902
དགོན་,24,0.5096623486939902
ཡང་,23,0.4884264174984073
ཆོས་,21,0.44595455510724147
རྟོགས་ལྡན་,20,0.4247186239116585
བོད་,20,0.4247186239116585
མགོན་,19,0.4034826927160756
འབྲི་གུང་,18,0.3822467615204927
མ་,18,0.3822467615204927
ཀྱིས་,17,0.36101083032490977
མཇལ་,17,0.36101083032490977
ཡང་སྲིད་,16,0.33977489912932685
བཞུགས་,16,0.33977489912932685
ཞེས་,16,0.33977489912932685
ཁག་,16,0.33977489912932685
མི་,16,0.33977489912932685
མཆོག་,16,0.33977489912932685
གཉིས་,15,0.3185389679337439
ཀྱང་,15,0.3185389679337439
ཚུལ,14,0.297303036738161
ནི་,14,0.297303036738161
རྗེ་,14,0.297303036738161
དེ་ནས་,14,0.297303036738161
ཚེས་,14,0.297303036738161
ལ,13,0.276067105542578
བཀའ་,13,0.276067105542578
ཞུས,13,0.276067105542578
དེ་,13,0.276067105542578
གནས་,13,0.276067105542578
ཞིང་,12,0.2548311743469951
རྣམ་,12,0.2548311743469951
དཀོན་མཆོག་,12,0.2548311743469951
བླ་མ་,12,0.2548311743469951
ནང་,12,0.2548311743469951
དྲུང་,12,0.2548311743469951
ཉིན་,12,0.2548311743469951
མྱུར་,12,0.2548311743469951
སྐྱེ་བ་,11,0.23359524315141217
མཚན་,11,0.23359524315141217
བྱུང་,11,0.23359524315141217
ཕེབས་,11,0.23359524315141217
བརྒྱུད་,11,0.23359524315141217
སྐབས་,11,0.23359524315141217
རྡོ་རྗེ་,11,0.23359524315141217
དབང་,11,0.23359524315141217
༽,11,0.23359524315141217
བསྟན་པ,10,0.21235931195582924
ཏེ་,10,0.21235931195582924
བསྟན་འཛིན་,10,0.21235931195582924
ཐུབ་བསྟན་,10,0.21235931195582924
བར་,10,0.21235931195582924
སྔོན་,10,0.21235931195582924
ཆོས་རྗེ་,10,0.21235931195582924
དུས་,10,0.21235931195582924
རིན་པོ་ཆེ,10,0.21235931195582924
རང་,10,0.21235931195582924
ཁྲི་,9,0.19112338076024635
ཚུལ་,9,0.19112338076024635
ཞབས་,9,0.19112338076024635
བསོད་ནམས་,9,0.19112338076024635
འཁྲུངས,9,0.19112338076024635
རྒྱལ་མཚན་,9,0.19112338076024635
སྒང་,9,0.19112338076024635
གྱིས་,9,0.19112338076024635
ཞུས་,9,0.19112338076024635
སྤྱི་ལོ་,9,0.19112338076024635
ཕྱོགས་,8,0.16988744956466342
རྒྱ་གར་,8,0.16988744956466342
འཁྲུངས་,8,0.16988744956466342
དབང་ལུང་,8,0.16988744956466342
ཕུལ་,8,0.16988744956466342
བཞིན་,8,0.16988744956466342
ཚང་,8,0.16988744956466342
འཆང་,8,0.16988744956466342
ཞིག་,8,0.16988744956466342
ཡོད་པ་,8,0.16988744956466342
ཞབས་འདེགས་,8,0.16988744956466342
ཡོད,8,0.16988744956466342
བྱོན་,8,0.16988744956466342
ཉིད་,7,0.1486515183690805
སྐུ,7,0.1486515183690805
རིན་ཆེན་,7,0.1486515183690805
འབྲི་གུང་པ,7,0.1486515183690805
ཨོ་རྒྱན་,7,0.1486515183690805
རྣམ་རྒྱལ་,7,0.1486515183690805
ཉི་མ་,7,0.1486515183690805
སྤྲུལ་སྐུ་,7,0.1486515183690805
ཤིན་ཏུ་,7,0.1486515183690805
ཞེས་པ་,7,0.1486515183690805
དང,7,0.1486515183690805
སྒྲུབ་,7,0.1486515183690805
དེ,7,0.1486515183690805
གཡུང་དྲུང་,7,0.1486515183690805
ཞི་བ,7,0.1486515183690805
འབྲི་,7,0.1486515183690805
ཆེ་,7,0.1486515183690805
དགོངས་པ་,7,0.1486515183690805
བཀའ་དབང་,7,0.1486515183690805
ཏུ་,7,0.1486515183690805
ལྷན་,7,0.1486515183690805
ཚོགས་,7,0.1486515183690805
ལོ་,7,0.1486515183690805
དཔལ་,7,0.1486515183690805
ཡུལ་,6,0.12741558717349755
ཕུན་ཚོགས་,6,0.12741558717349755
ཟབ་,6,0.12741558717349755
མེ་ཏོག་,6,0.12741558717349755
ཅིང་,6,0.12741558717349755
ཡིན་,6,0.12741558717349755
རབ་ཏུ་,6,0.12741558717349755
བཀྲ་ཤིས་,6,0.12741558717349755
ལྔ་,6,0.12741558717349755
ཙམ་,6,0.12741558717349755
རྒྱས་,6,0.12741558717349755
བཟང་པོ་,6,0.12741558717349755
སྙིང་,6,0.12741558717349755
བློ་གྲོས་,6,0.12741558717349755
ཞེས་པ,6,0.12741558717349755
ཆོས་རྗེ,6,0.12741558717349755
ཐུགས་དམ་,6,0.12741558717349755
མཛད་པ་,6,0.12741558717349755
ཆེན་,6,0.12741558717349755
ཀུན་,6,0.12741558717349755
སོ,6,0.12741558717349755
ནོར་བུ་,6,0.12741558717349755
གནང་,6,0.12741558717349755
ན་,6,0.12741558717349755
རྟགས་,6,0.12741558717349755
ལོག་,6,0.12741558717349755
གསོལ་,6,0.12741558717349755
སློབ་སྦྱོང་,6,0.12741558717349755
གནས་ཆེན་,6,0.12741558717349755
སྒོ་,6,0.12741558717349755
དད་པ་,6,0.12741558717349755
ངོས་འཛིན་,5,0.10617965597791462
སྟོན་,5,0.10617965597791462
རྒྱལ་དབང་,5,0.10617965597791462
གང་,5,0.10617965597791462
ཕྱག་,5,0.10617965597791462
ཆེན་པོ་,5,0.10617965597791462
འོད་,5,0.10617965597791462
ཤིང་,5,0.10617965597791462
ལྟར་,5,0.10617965597791462
འཕྲིན་ལས་,5,0.10617965597791462
གཞན་,5,0.10617965597791462
གཞུང་,5,0.10617965597791462
རི་,5,0.10617965597791462
སྒར་,5,0.10617965597791462
མཁན་པོ་,5,0.10617965597791462
ཁྲིད་,5,0.10617965597791462
སྐོར་,5,0.10617965597791462
པདྨ,5,0.10617965597791462
གཤེགས་,5,0.10617965597791462
དོན་,5,0.10617965597791462
སྐུ་ཕྲེང་,5,0.10617965597791462
ཆུང་,5,0.10617965597791462
ལྡན་,5,0.10617965597791462
ཅན་,5,0.10617965597791462
བདེ་བ,5,0.10617965597791462
ཟླ་བ་,5,0.10617965597791462
མངའ་,5,0.10617965597791462
རྟེན་འབྲེལ་,5,0.10617965597791462
གཅིག་,5,0.10617965597791462
བུ་,5,0.10617965597791462
དགོས་,5,0.10617965597791462
འོ,5,0.10617965597791462
མེད་,5,0.10617965597791462
རྒྱུ,5,0.10617965597791462
མང་,5,0.10617965597791462
ཡིན,5,0.10617965597791462
མཁྱེན་,5,0.10617965597791462
དབུ་,5,0.10617965597791462
ཐོག་,5,0.10617965597791462
ལུང་,5,0.10617965597791462
དམ་པ་,5,0.10617965597791462
བཀའ་དྲིན་,5,0.10617965597791462
ཕྱེས་,5,0.10617965597791462
གསོལ་འདེབས་,5,0.10617965597791462
གོང་མ,4,0.08494372478233171
འགྲོ་དོན་,4,0.08494372478233171
པདྨ་,4,0.08494372478233171
ཆོས་རྒྱལ་,4,0.08494372478233171
མདོ་སྔགས་,4,0.08494372478233171
དགོན་པ་,4,0.08494372478233171
ཁམས་,4,0.08494372478233171
བསྟན་པ་,4,0.08494372478233171
གྱུར་,4,0.08494372478233171
གླིང་,4,0.08494372478233171
རྟེན་,4,0.08494372478233171
བསྟན་,4,0.08494372478233171
རྒྱ་,4,0.08494372478233171
ཕེབས,4,0.08494372478233171
ཆེ་བ་,4,0.08494372478233171
སྡེ་,4,0.08494372478233171
ཁྱིམ་,4,0.08494372478233171
དགུང་ལོ་,4,0.08494372478233171
མངའ་རིས་,4,0.08494372478233171
རྡོར་,4,0.08494372478233171
མཐིལ་,4,0.08494372478233171
གྱུར,4,0.08494372478233171
མཚོ་,4,0.08494372478233171
དགེ་རྒན་,4,0.08494372478233171
ཚེ་རིང་,4,0.08494372478233171
འདོན་,4,0.08494372478233171
ཕྱིར་,4,0.08494372478233171
དད་,4,0.08494372478233171
ཨ་ཕྱི་,4,0.08494372478233171
བྲག་,4,0.08494372478233171
གསུངས་པ,4,0.08494372478233171
ཡིན་པ,4,0.08494372478233171
བྱེད་,4,0.08494372478233171
སྟེང་,4,0.08494372478233171
རྒྱུ་,4,0.08494372478233171
ཆོས་སྐུ་,4,0.08494372478233171
བྱིན་,4,0.08494372478233171
རིང་,4,0.08494372478233171
བྱ་,4,0.08494372478233171
འཁྲུལ་,4,0.08494372478233171
རྗེས་,4,0.08494372478233171
གིས་,4,0.08494372478233171
ཀཤྨིར་,4,0.08494372478233171
ཇམྨུ་,4,0.08494372478233171
ཞུ་,4,0.08494372478233171
ཡིད་བཞིན་,4,0.08494372478233171
བཀའ་འབུམ,4,0.08494372478233171
ཡོད་,4,0.08494372478233171
ཐོན་,4,0.08494372478233171
རི,4,0.08494372478233171
མང་པོ,4,0.08494372478233171
ཡོངས་,4,0.08494372478233171
དག་སྣང་,4,0.08494372478233171
གཏེར་,4,0.08494372478233171
གནས་ཡིག་,4,0.08494372478233171
གཤེགས་པ,4,0.08494372478233171
སྲི་ཞུ་,4,0.08494372478233171
བསྒྲིགས་,4,0.08494372478233171
འཁྲུངས་པ་,3,0.06370779358674877
༄༅,3,0.06370779358674877
འཁྲུངས་པ,3,0.06370779358674877
ཐམས་ཅད་,3,0.06370779358674877
གསན་,3,0.06370779358674877
མཛད་པ,3,0.06370779358674877
རྒྱ་ཆེན་པོ་,3,0.06370779358674877
ཀོང་པོ་,3,0.06370779358674877
གྲགས་པ་,3,0.06370779358674877
བཙུགས་,3,0.06370779358674877
ཤར་,3,0.06370779358674877
གཉིས་པ་,3,0.06370779358674877
ཤོད་,3,0.06370779358674877
གཏུགས་,3,0.06370779358674877
བྱུང,3,0.06370779358674877
ཨེ་ཝཾ་,3,0.06370779358674877
རྒྱལ་བ་,3,0.06370779358674877
སྤེལ་,3,0.06370779358674877
ཀུན་མཁྱེན་,3,0.06370779358674877
གདན་ཞུ,3,0.06370779358674877
རབ་གནས་,3,0.06370779358674877
དགེ་འདུན་,3,0.06370779358674877
མཛད་འཕྲིན་,3,0.06370779358674877
གདན་ས,3,0.06370779358674877
གཟིགས་,3,0.06370779358674877
དགོངས་,3,0.06370779358674877
ལྗགས་ལུང་,3,0.06370779358674877
རྒྱུད་སྡེ་,3,0.06370779358674877
སྦྲང་,3,0.06370779358674877
ཆོས་སྲིད་,3,0.06370779358674877
ཁ་,3,0.06370779358674877
དར་,3,0.06370779358674877
དེ་ཡང་,3,0.06370779358674877
འགྲོ་,3,0.06370779358674877
མཐོང་,3,0.06370779358674877
སྨོན་,3,0.06370779358674877
སྡེ,3,0.06370779358674877
སྐུ་གཤེགས,3,0.06370779358674877
ཆོས་གྲགས་,3,0.06370779358674877
གཙང་,3,0.06370779358674877
རྒྱལ་པོ་,3,0.06370779358674877
བརྒྱད་,3,0.06370779358674877
སློབ་དཔོན་,3,0.06370779358674877
དེ་དུས་,3,0.06370779358674877
སྐུ་ཚེ་,3,0.06370779358674877
ཀུན་དགའ་,3,0.06370779358674877
ཆེ་བ,3,0.06370779358674877
གཟིམ་ཆུང་,3,0.06370779358674877
བཞུགས,3,0.06370779358674877
བསྟེན་,3,0.06370779358674877
ལེགས་པ,3,0.06370779358674877
ཞུ་བ་,3,0.06370779358674877
བས་,3,0.06370779358674877
ཆེན་པོ,3,0.06370779358674877
མཎྜལ་,3,0.06370779358674877
དགོས་པ,3,0.06370779358674877
ལྔ,3,0.06370779358674877
རེ་,3,0.06370779358674877
འཇའ་,3,0.06370779358674877
གུར་,3,0.06370779358674877
ཞིང་གཤེགས་,3,0.06370779358674877
རབ་,3,0.06370779358674877
༡,3,0.06370779358674877
ཁུལ་,3,0.06370779358674877
ཡུམ་,3,0.06370779358674877
ཡེ་ཤེས་,3,0.06370779358674877
བདག་,3,0.06370779358674877
སྔོན་པོ་,3,0.06370779358674877
གསུངས་པ་,3,0.06370779358674877
ཚེ་,3,0.06370779358674877
ཐག་,3,0.06370779358674877
མཉམ་,3,0.06370779358674877
འདས་པ,3,0.06370779358674877
གསུངས་,3,0.06370779358674877
གཙང་སྦྲ་,3,0.06370779358674877
ས,3,0.06370779358674877
ནོར་,3,0.06370779358674877
༸གོང་,3,0.06370779358674877
མ,3,0.06370779358674877
དབུ་ཆོས་,3,0.06370779358674877
ཡོངས་འཛིན་,3,0.06370779358674877
བཞུགས་ཁྲི,3,0.06370779358674877
ཆེས་,3,0.06370779358674877
ཕེབས་པ་,3,0.06370779358674877
